ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
641117277482958729,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.3843,-3.72754",Madrid,43,43,43,,,1,1,,
817259230117760076,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.458351,-3.70369",Madrid,,,,4.62,52,1,1,1,
604348883039432781,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.41704,-3.67763",Madrid,37,37,37,4.65,131,1,1,1,
702899531238316734,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.45997,-3.58883",Madrid,48,48,48,,,1,1,1,
1105985965012512388,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.376298,-3.743612",Madrid,,,,,,1,1,,4
813745079215519928,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.474532,-3.584479",Madrid,93,,93,5.0,4,2,1,3,6
000000000035439773,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.38773,-3.72278",Madrid,26,,26,4.83,82,1,1,,
1135370377106681453,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.397975,-3.703063",Madrid,,,,,,1,1,,2
923786084829682484,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4551,-3.7011",Madrid,160,281,220,,,2,2,3,4
648589218564035261,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.43517,-3.7133",Madrid,152,,152,4.66,56,2,2,3,5
711640813337635635,"Habitación en Torrejón de Ardoz, España",Habitación,Habitación,Madrid,"40.45531,-3.44685",Torrejn de Ardoz,35,35,35,,,1,1,1,
682313313341411150,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.3978,-3.6992",Madrid,55,55,55,,,1,1,1,
975493900261193874,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.406,-3.648",Madrid,32,32,32,4.67,9,1,1,1,
000000000048672492,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.45,-3.6674",Madrid,68,68,68,,,1,1,2,3
911345532433110385,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.408103,-3.731597",Madrid,50,50,50,4.83,18,1,1,1,
825876820173794890,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.3768,-3.7545",Madrid,120,115,118,,,2,2,3,4
701228034333215922,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.45971,-3.58766",Madrid,49,49,49,,,1,1,,
944048505343975480,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.433,-3.7174",Madrid,,,,4.17,24,1,1,1,1
604092307498076311,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.40749,-3.7027",Madrid,,,,4.81,117,1,1,1,
744793199400968425,"Habitación en Getafe, España",Habitación,Habitación,Madrid,"40.3292,-3.7321",Getafe,,41,41,,,1,1,1,
1021130443413751338,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.40383,-3.69532",Madrid,113,,113,4.66,41,2,1,5,5
1144181410605295749,"Habitación en Coslada, España",Habitación,Habitación,Madrid,"40.424767,-3.562208",Coslada,48,48,48,,,1,1,2,
1047751873763743017,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4738,-3.64",Madrid,,,,,,1,1,1,2
1087194565149993909,"Habitación privada en: piso en Madrid, España",Habitación privada en,Habitación,Madrid,"40.3806,-3.7035",Madrid,32,32,32,3.86,14,1,1,1,2
1061509492184985152,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.399436,-3.695153",Madrid,,,,4.73,11,1,1,,4
000000000012560698,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.3927,-3.6907",Madrid,194,194,194,,,3,2,3,4
849208689069085679,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.387791,-3.756616",Madrid,23,,23,4.79,33,1,1,1,
954295535871508498,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.35746,-3.59406",Madrid,122,154,138,4.87,15,2,2,3,6
000000000026728651,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.46567,-3.69556",Madrid,120,200,160,4.67,156,1,1,1,2
1128198109864004445,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4211,-3.7098",Madrid,,227,227,,,1,1,2,3
1078915903154979864,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4211,-3.7014",Madrid,129,204,166,,,1,1,,3
827269532255363818,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.426951,-3.700788",Madrid,113,79,96,4.54,35,1,1,1,2
1116723675835977281,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.3682,-3.6674",Madrid,23,23,23,5.0,3,1,1,,
869458356471384276,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.4097,-3.672",Madrid,,68,68,,,1,1,,
978518743068545534,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.3575,-3.6858",Madrid,98,,98,,,1,1,2,3
909987551984221768,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.49251,-3.689688",Madrid,,,,4.86,42,1,1,1,2
913767880994499999,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4274,-3.6747",Madrid,90,,90,,,1,1,,2
847054129239226237,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.437913,-3.702318",Madrid,144,291,218,4.55,20,1,1,2,4
819518424371086091,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.458226,-3.705536",Madrid,,,,4.55,49,1,1,,
1009375011420932547,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4311,-3.6726",Madrid,182,312,247,5.0,11,3,1,3,5
000000000016213864,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4118,-3.6956",Madrid,113,153,133,4.74,658,1,1,2,2
1118152495493716271,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.427741,-3.73495",Madrid,35,35,35,,,1,1,,
981158638359219888,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.46827,-3.71373",Madrid,130,247,188,4.78,23,1,1,1,3
839805550941878584,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.38737,-3.705654",Madrid,44,44,44,4.5,12,1,1,1,
907256923289262996,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.42183,-3.7068",Madrid,137,137,137,,,2,1,,3
000000000047897389,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.38745,-3.70138",Madrid,163,163,163,4.56,106,2,1,3,4
714194442792391970,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.44191,-3.69833",Madrid,113,166,140,4.64,42,1,1,2,3
000000000015609190,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.4348,-3.68346",Madrid,,40,40,,,1,1,2,
