,ID,Tipo de habitación,Ciudad,Localización,Precio por noche Octubre,Precio por noche Agosto,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
1302,1138388542185698822,"Alojamiento entero: piso en Madrid, España",Madrid,"40.451171,-3.690669",120 €,120 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,No especificado,2 viajeros
1303,53625996,"Habitación en Madrid, España",Madrid,"40.39233,-3.66927",30 €,30 €,"4,71",126 evaluaciones,1 dormitorio,baño compartido,No especificado,No especificado
1304,43607230,"Habitación en Madrid, España",Madrid,"40.4791,-3.7005",28 €,28 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
1305,1126746872220890452,"Alojamiento entero: piso en Madrid, España",Madrid,"40.46202,-3.68893",575 €,187 €,Nuevo,2 evaluaciones,2 dormitorios,2 baños,3 camas,6 viajeros
1306,633816197266315900,"Alojamiento entero: piso en Madrid, España",Madrid,"40.4185,-3.67837",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,2 camas,3 viajeros
1307,32181969,"Habitación en Madrid, España",Madrid,"40.41285,-3.70282",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
1308,1060081052393514430,"Habitación en Madrid, España",Madrid,"40.390963,-3.712876",50 €,50 €,Nuevo,2 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
1309,1111503223248174534,"Alojamiento entero: piso en Madrid, España",Madrid,"40.4282,-3.7046",278 €,240 €,Nuevo,1 evaluación,3 dormitorios,1 baño,No especificado,4 viajeros
1310,1114943401753713529,"Alojamiento entero: loft en Madrid, España",Madrid,"40.399302,-3.666424",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,No especificado,2 viajeros
1311,45947376,"Alojamiento entero: piso en Madrid, España",Madrid,"40.42059,-3.68399",216 €,No disponible en Agosto,"4,56",99 evaluaciones,1 dormitorio,1 baño,2 camas,2 viajeros
1312,877630921018423263,"Alojamiento entero: piso en Madrid, España",Madrid,"40.368697,-3.621569",59 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,1 cama,2 viajeros
