ID,CP,PRECIO POR PISO,PRECIO POR CASA,Precio m2
01060200998387221061,28011,2936,2680,2808
00000000000032416592,28012,4818,3175,3996
00000000000039579267,28027,3718,3764,3741
00994155113777122145,28022,3080,3139,3109
00000000000046449953,28025,2311,2262,2286
00776357149403107139,28012,4818,3175,3996
00000000000039027938,28015,5701,2216,3958
01036793254794465805,28033,3900,3818,3859
00852725293190200477,28036,6077,6761,6419
00000000000043800072,28053,2293,2036,2164
00000000000000506956,28027,3718,3764,3741
00679441084367672211,28004,6544,5818,6181
00757101524536154833,28006,7921,7997,7959
00000000000036101024,28015,5701,2216,3958
00673212372696426326,28004,6544,5818,6181
00592579831465858618,28029,3854,3259,3556
01002737427369628830,28039,3874,3396,3635
00730287193405886135,28009,7057,5976,6516
00801351806604996349,28009,7057,5976,6516
00000000000051171914,28050,4580,3916,4248
01082618188664799792,28001,9376,6266,7821
00740260158818957901,28002,5455,7899,6677
00000000000025939631,28014,6436,2796,4616
00000000000038978476,28022,3080,3139,3109
00634103006835916784,28047,2477,2371,2424
00000000000027369694,28018,2115,2096,2105
01092719364698997148,28009,7057,5976,6516
00858549738372897433,28037,2621,3220,2920
00633821802826175848,28020,4967,829,2898
00623024154981920208,28024,2564,3021,2792
00000000000043838585,28006,7921,7997,7959
00000000000012202666,28004,6544,5818,6181
00000000000053655661,28037,2621,3220,2920
00000000000041162525,28015,5701,2216,3958
00806623122500579865,28047,2477,2371,2424
00000000000012204859,28007,4768,4564,4666
00000000000033761630,28004,6544,5818,6181
00734643995686982473,28034,3657,3485,3571
00744603561762354477,28037,2621,3220,2920
00919522447128310809,28042,3752,3278,3515
00000000000032184958,28011,2936,2680,2808
00000000000046653997,28037,2621,3220,2920
01101521944003991664,28041,2214,2440,2327
01004421165769529274,28035,3933,3433,3683
00577162911852313440,28020,4967,829,2898
01140697204522299966,28046,5834,3751,4792
00000000000018443731,28027,3718,3764,3741
00607017351445127578,28029,3854,3259,3556
00912098612650844217,28020,4967,829,2898
00000000000016978213,28002,5455,7899,6677
00675011114180571988,28050,4580,3916,4248
00623941397802495270,28050,4580,3916,4248
00000000000020129330,28009,7057,5976,6516
01101346912892656729,28020,4967,829,2898
00868712242543916402,28026,2504,2563,2533
00000000000033807961,28029,3854,3259,3556
01069050670952676452,28042,3752,3278,3515
00000000000041943773,28041,2214,2440,2327
00000000000018016295,28041,2214,2440,2327
00000000000044346885,28027,3718,3764,3741
01009577815099186456,28024,2564,3021,2792
01128798815621540580,28005,4879,4945,4912
00000000000017597559,28010,7169,5233,6201
00000000000000692358,28041,2214,2440,2327
01009444371398077730,28028,5148,4912,5030
00000000000054091760,28020,4967,829,2898
01140444394751801514,28012,4818,3175,3996
01129019795307803911,28013,4917,3286,4101
00799767311918328584,28028,5148,4912,5030
01114677278832357150,28014,6436,2796,4616
00000000000015545376,28027,3718,3764,3741
01128724666941430106,28012,4818,3175,3996
00000000000018007530,28003,5992,6000,5996
00778175081437093265,28011,2936,2680,2808
00944766541185967837,28026,2504,2563,2533
00000000000002965741,28014,6436,2796,4616
01044680474609035548,28004,6544,5818,6181
00000000000035119593,28014,6436,2796,4616
00000000000046349061,28019,2737,2498,2617
00761368728116718192,28004,6544,5818,6181
01043937255122887451,28012,4818,3175,3996
01044843402193808033,28029,3854,3259,3556
00000000000000983019,28038,2395,2216,2305
01140412620571774629,28009,7057,5976,6516
00000000000051566100,28028,5148,4912,5030
00907137542905746642,28006,7921,7997,7959
01015066882956124389,28020,4967,829,2898
00868061596800617075,28004,6544,5818,6181
00627974876047267937,28028,5148,4912,5030
01089957760451679339,28001,9376,6266,7821
00000000000029643205,28017,2962,3144,3053
01116139942849715336,28012,4818,3175,3996
00992472875009339959,28015,5701,2216,3958
00979575528192657789,28007,4768,4564,4666
00000000000008650327,28041,2214,2440,2327
00000000000052819221,28009,7057,5976,6516
00578827795669417945,28760,4250,2902,3576
00000000000001274889,28003,5992,6000,5996
00640408436399417980,28028,5148,4912,5030
00000000000018556827,28038,2395,2216,2305
00000000000042058899,28030,2810,2289,2549
00000000000003552414,28046,5834,3751,4792
00860536729974588749,28039,3874,3396,3635
00000000000014777687,28039,3874,3396,3635
00684003682797073773,28002,5455,7899,6677
00000000000036761240,28024,2564,3021,2792
00547778825940910709,28039,3874,3396,3635
00622111632368074603,28020,4967,829,2898
00000000000051344486,28001,9376,6266,7821
01129836165023579147,28053,2293,2036,2164
00000000000049124685,28011,2936,2680,2808
00000000000003143872,28008,5683,5308,5495
00000000000036895132,28001,9376,6266,7821
00683992850369630581,28002,5455,7899,6677
00000000000048667689,28039,3874,3396,3635
00000000000022780563,28006,7921,7997,7959
01052169778262275531,28010,7169,5233,6201
00721476501078701599,28002,5455,7899,6677
00000000000039357326,28015,5701,2216,3958
01128925458941915556,28042,3752,3278,3515
00851556805771426195,28025,2311,2262,2286
01111016473586265206,28013,4917,3286,4101
01131719872884864633,28039,3874,3396,3635
01077703301565319185,28004,6544,5818,6181
00000000000039249261,28038,2395,2216,2305
00652022103829772683,28043,4430,4304,4367
00000000000035186569,28017,2962,3144,3053
00000000000008368543,28035,3933,3433,3683
00000000000011753638,28011,2936,2680,2808
00795405693750606575,28017,2962,3144,3053
00994987382512204185,28021,1967,1831,1899
00000000000032883496,28015,5701,2216,3958
00000000000033537761,28038,2395,2216,2305
00765067423372731605,28020,4967,829,2898
00000000000039598264,28009,7057,5976,6516
00000000000012304335,28045,4451,4763,4607
00858484072539069898,28025,2311,2262,2286
00000000000046348987,28019,2737,2498,2617
00000000000032030804,28002,5455,7899,6677
00964437967572133767,28025,2311,2262,2286
00570113135048098164,28041,2214,2440,2327
00868069789352794592,28051,3310,2669,2989
00714199940853930669,28035,3933,3433,3683
00606864695043410180,28020,4967,829,2898
01094933484152971062,28017,2962,3144,3053
01068193894036482688,28014,6436,2796,4616
00000000000024576454,28009,7057,5976,6516
00000000000049613693,28029,3854,3259,3556
00000000000052930103,28027,3718,3764,3741
00720395114930210044,28043,4430,4304,4367
00000000000032802493,28004,6544,5818,6181
00000000000028049357,28029,3854,3259,3556
00751141959757234448,28006,7921,7997,7959
00981683776952405429,28027,3718,3764,3741
01143455699581800181,28006,7921,7997,7959
01133989707262129195,28017,2962,3144,3053
00000000000038863726,28036,6077,6761,6419
00000000000036254899,28004,6544,5818,6181
00000000000051134366,28043,4430,4304,4367
00000000000037896859,28050,4580,3916,4248
00000000000021496663,28012,4818,3175,3996
00000000000015061803,28043,4430,4304,4367
00568026349811579601,28005,4879,4945,4912
01140421625435313811,28006,7921,7997,7959
01047137882055888830,28001,9376,6266,7821
01091422963424998304,28013,4917,3286,4101
01083435662807900690,28026,2504,2563,2533
01006477132303304961,28020,4967,829,2898
00641743727029180568,28019,2737,2498,2617
00000000000049511753,28010,7169,5233,6201
00000000000016777599,28039,3874,3396,3635
00956225660909710444,28002,5455,7899,6677
00000000000029936250,28019,2737,2498,2617
00000000000041638543,28019,2737,2498,2617
01112923768358174628,28019,2737,2498,2617
00965704313101607708,28038,2395,2216,2305
00000000000025606815,28014,6436,2796,4616
00000000000048290903,28053,2293,2036,2164
00930219944371338604,28001,9376,6266,7821
00968055984328271046,28037,2621,3220,2920
00902810630153262672,28012,4818,3175,3996
00969371855245398464,28020,4967,829,2898
01031008400832969937,28011,2936,2680,2808
00862257795212164053,28051,3310,2669,2989
00998991591702444794,28029,3854,3259,3556
00922961937731679160,28021,1967,1831,1899
00878125881083043298,28036,6077,6761,6419
01116856173824161340,28045,4451,4763,4607
01076612969605761476,28007,4768,4564,4666
00000000000044463987,28017,2962,3144,3053
01018752791647332736,28011,2936,2680,2808
00000000000047846679,28017,2962,3144,3053
00985403207213427356,28007,4768,4564,4666
00623134397838965635,28021,1967,1831,1899
00603592466684328635,28033,3900,3818,3859
00000000000051699199,28007,4768,4564,4666
00000000000001547100,28047,2477,2371,2424
00614304577954592364,28025,2311,2262,2286
00739782154340359571,28042,3752,3278,3515
00000000000034683464,28022,3080,3139,3109
00000000000052965971,28015,5701,2216,3958
01131142326389957998,28045,4451,4763,4607
01019361593008614769,28028,5148,4912,5030
00615892318735997347,28025,2311,2262,2286
00000000000020951336,28001,9376,6266,7821
01123715376743537240,28039,3874,3396,3635
00617987908608131592,28045,4451,4763,4607
00826212294120022605,28038,2395,2216,2305
00682381556246620776,28005,4879,4945,4912
00882759479445807232,28025,2311,2262,2286
00607799616247513616,28007,4768,4564,4666
00716680528748637983,28045,4451,4763,4607
00867913383219281095,28039,3874,3396,3635
00000000000052363321,28033,3900,3818,3859
00000000000023800083,28007,4768,4564,4666
00936633952396959554,28020,4967,829,2898
00918933727739009525,28029,3854,3259,3556
00000000000013304944,28012,4818,3175,3996
00000000000043697513,28015,5701,2216,3958
00633019186800352588,28019,2737,2498,2617
00918015101737298407,28029,3854,3259,3556
00000000000050207500,28015,5701,2216,3958
00650744546663770171,28007,4768,4564,4666
00000000000041874597,28023,4681,3722,4201
00813613829259975007,28039,3874,3396,3635
00797555553045434176,28023,4681,3722,4201
00696184388369953264,28032,2704,2823,2763
00739667244972812192,28008,5683,5308,5495
00000000000050671859,28017,2962,3144,3053
00000000000018147455,28009,7057,5976,6516
