ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
00000000000050265658,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.35925,-5.84568",Asturias,,102,102,,,1,1,1,3
00652069041707279856,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53473,-5.66713",Asturias,,,,,,2,1,3,4
01023750832383666871,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.365038,-5.846142",Asturias,,60,60,,1,1,1,1,2
00862683521091393711,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.37257,-5.83035",Asturias,,55,55,4.76,45,1,1,1,2
01109928196578865006,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5333,-5.5545",Asturias,,,,,1,3,1,5,6
00650366312170584052,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5331,-5.6564",Asturias,,,,4.71,7,3,1,4,5
00598208293469197836,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.36374,-5.84585",Asturias,116,87,102,,,2,1,2,4
00000000000005880808,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3572,-5.8504",Asturias,,57,57,,,1,1,2,4
01053536014887582204,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3613,-5.8603",Asturias,195,500,348,5.0,4,2,1,3,4
00000000000045239853,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.52216,-5.52565",Asturias,,69,69,,,1,1,1,2
01035497440288387020,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5427,-5.66042",Asturias,250,72,161,4.7,23,1,1,1,2
00585318595345300269,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3624,-5.85431",Asturias,185,79,132,4.65,31,2,1,3,4
00000000000050808432,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3648,-5.8451",Asturias,,,,,,1,1,1,2
00872227855397577016,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5404,-5.6589",Asturias,,,,,,1,1,2,3
00000000000048589026,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.52577,-5.68121",Asturias,,,,,,3,1,3,5
01155207675155435564,Habitación,Habitación,Habitación,Asturias,,Asturias,,35,35,,,1,1,,
00000000000045574636,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3678,-5.7949",Asturias,229,99,164,4.81,42,1,1,2,4
00986809835611694183,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3632,-5.8669",Asturias,,,,4.62,13,1,1,4,2
00933891390417790990,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.540963,-5.659767",Asturias,,100,100,,,3,1,,5
00000000000034078639,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.357,-5.85179",Asturias,150,68,109,,,2,1,2,3
00895417530689623213,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53986,-5.68649",Asturias,170,122,146,4.89,46,3,1,6,8
00000000000044316645,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53919,-5.64827",Asturias,260,,260,,,3,1,4,6
00628894785540156583,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53778,-5.64653",Asturias,,90,90,,,2,1,,4
01089800036187094878,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.540378,-5.658789",Asturias,255,95,175,4.5,4,2,1,2,4
00000000000020593523,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3599,-5.8463",Asturias,,71,71,4.89,81,1,1,1,2
00618074262825330244,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3441,-5.98154",Asturias,72,72,72,4.69,36,1,1,4,4
00638323767123020336,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.36039,-5.84195",Asturias,185,,185,,,1,1,2,4
01139620042216022502,Alojamiento,Alojamiento,Alojamiento,Asturias,,Asturias,,110,110,,,1,1,,4
00866460105606397881,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.4739,-5.5489",Asturias,,185,185,4.67,3,3,1,3,5
01152047504905165174,Alojamiento,Alojamiento,Alojamiento,Asturias,,Asturias,170,,170,,1,1,1,,6
00000000000036874978,Alojamiento,Alojamiento,Alojamiento,Asturias,,Asturias,,67,67,,,1,1,2,3
01055712948016009541,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.543782,-5.502104",Asturias,,,,,,3,1,5,6
00667811548740343625,Alojamiento,Alojamiento,Alojamiento,Asturias,,Asturias,,,,,,2,1,4,5
01106672389409039979,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5351,-5.6689",Asturias,220,90,155,4.25,4,2,1,,4
00914488177537465890,Alojamiento,Alojamiento,Alojamiento,Asturias,,Asturias,,115,115,,,2,1,3,4
00908554239234367661,Alojamiento,Alojamiento,Alojamiento,Asturias,,Asturias,120,,120,,,1,1,1,2
01037876006726370804,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.35612,-5.840693",Asturias,220,109,164,4.61,18,3,1,4,8
01109967573746753241,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.376569,-5.801049",Asturias,120,,120,,,3,1,3,5
00000000000009557596,Alojamiento,Alojamiento,Alojamiento,Asturias,,Asturias,,185,185,4.6,84,4,1,5,9
00877855628790315993,Alojamiento,Alojamiento,Alojamiento,Asturias,,Asturias,,90,90,5.0,4,1,1,1,2
01009833608158121678,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3637,-5.8479",Asturias,107,,107,,,2,1,3,3
00654919370058704328,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53967,-5.64738",Asturias,,124,124,4.81,36,2,1,2,6
00000000000035573586,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.42473,-5.42617",Asturias,,80,80,,,1,1,1,2
00000000000020762556,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3649,-5.8485",Asturias,,,,4.8,64,3,1,3,6
00000000000049027944,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53899,-5.66382",Asturias,,75,75,,,2,1,1,2
00000000000042975481,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.54624,-5.66339",Asturias,155,56,106,5.0,5,1,1,2,3
00000000000017480656,Alojamiento,Alojamiento,Alojamiento,Asturias,,Asturias,,,,4.85,175,2,1,2,4
00600397051313839156,Habitación,Habitación,Habitación,Asturias,,Asturias,105,60,82,5.0,3,1,1,1,2
00922469651738761964,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3648,-5.847",Asturias,,109,109,,2,2,1,2,4
00000000000023872390,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.37688,-5.93185",Asturias,,260,260,,,5,1,0,4
00960701080587850702,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3857,-5.6981",Asturias,,72,72,,,2,1,,4
01150981628113761790,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.361053,-5.845563",Asturias,,145,145,,,1,1,1,4
00000000000024900224,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53928,-5.64955",Asturias,,300,300,5.0,10,4,1,4,8
00897630560865489581,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3587,-5.8522",Asturias,,,,,,1,1,1,2
00965662814106062983,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3644,-5.8608",Asturias,131,,131,,,3,1,3,6
00954919032189281462,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5358,-5.623",Asturias,164,52,108,,,1,1,1,4
00000000000050973091,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.36234,-5.84819",Asturias,,110,110,,,1,1,1,2
00853472594590083383,Habitación,Habitación,Habitación,Asturias,"43.352,-5.8402",Asturias,37,37,37,4.33,39,1,1,,
01149829075063249905,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.375518,-5.831959",Asturias,140,70,105,,,2,1,2,3
00000000000006167172,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.54088,-5.69364",Asturias,,,,4.61,57,4,1,6,7
00000000000050702517,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.64049,-5.84253",Asturias,,156,156,,,3,1,5,6
00673927620311437601,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5391,-5.6498",Asturias,200,115,158,,,1,1,2,3
00910258757380711923,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3646,-5.8519",Asturias,,,,,,6,1,,0
00000000000051441042,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.37509,-5.83247",Asturias,,,,,,2,1,2,4
00844933087280125085,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3671,-5.8559",Asturias,,81,81,,,2,1,,3
00000000000017342477,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.35852,-5.84375",Asturias,,83,83,,,2,1,2,4
00548541739867389158,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.35509,-5.84827",Asturias,,75,75,4.5,4,2,1,,4
01051948983791131412,Habitación,Habitación,Habitación,Asturias,"43.536206,-5.670649",Asturias,33,33,33,,2,1,1,1,
00000000000049850762,Habitación,Habitación,Habitación,Asturias,"43.38806,-5.82343",Asturias,80,,80,,,1,1,,
00000000000037655973,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53872,-5.64686",Asturias,,57,57,4.61,18,2,1,3,4
01142577729955233683,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.360981,-5.86369",Asturias,,,,,,3,1,,6
01110916070344833514,Habitación,Habitación,Habitación,Asturias,"43.5366,-5.675659",Asturias,,50,50,,1,1,1,,
00853349868692832207,Habitación,Habitación,Habitación,Asturias,"43.5138,-5.59926",Asturias,91,,91,4.67,3,1,1,1,2
