,ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos,Distancia a PI
103,735564050050881564,"Alojamiento entero: loft en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.39331,-3.71184",Madrid,97.0,97.0,97.0,4.62,50.0,1.0,1,2.0,4.0,2.719
104,1039158278837164465,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.39345,-3.670409",Madrid,200.0,200.0,200.0,,,2.0,1,3.0,6.0,3.832
105,1045592465518563705,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.432697,-3.692473",Madrid,133.0,133.0,133.0,,,1.0,1,,3.0,1.988
106,20579404,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.42974,-3.68391",Madrid,158.0,158.0,158.0,,,1.0,1,1.0,2.0,2.188
107,1052098147793582990,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.44754,-3.57665",Madrid,,,,5.0,3.0,1.0,1,,2.0,11.266
108,34378324,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.38087,-3.70192",Madrid,,150.0,150.0,,,3.0,1,4.0,5.0,4.012
109,1094985674009235808,"Habitación privada en: casa de invitados en Pozuelo de Alarcón, España",Habitación privada en,Habitación,Madrid,"40.43465,-3.81269",Pozuelo de Alarcn,45.0,45.0,45.0,,,4.0,1,4.0,1.0,9.448
110,862246946353143713,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.413,-3.7255",Madrid,,,,,,1.0,1,1.0,,1.91
111,1100596120166510149,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.41479,-3.70267",Madrid,,,,4.75,4.0,1.0,1,1.0,2.0,0.249
112,948391662354379444,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.45829,-3.68878",Madrid,55.0,55.0,55.0,4.84,45.0,1.0,1,1.0,,4.766
113,49511750,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.43465,-3.70119",Madrid,104.0,403.0,254.0,4.51,43.0,1.0,1,2.0,4.0,1.981
114,904854302115777444,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.455684,-3.704978",Madrid,40.0,40.0,40.0,,,1.0,1,1.0,,4.311
115,18100690,"Alojamiento entero: loft en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.47173,-3.58283",Madrid,43.0,43.0,43.0,4.66,508.0,1.0,1,1.0,2.0,11.894
116,656375669176241177,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.39964,-3.70119",Madrid,76.0,76.0,76.0,4.8,44.0,1.0,1,1.0,2.0,1.933
